names,members,birth_name,birth_place,birth_date,gender,category,spotify track artist audio.artist_name,spotify track artist audio.artist_id
Luke Combs,,Luke Albert Combs,"[[Charlotte, North Carolina]], U.S.",{{birth date and age|1990|3|2}},male,American_country_singers,Luke Combs,718COspgdWOnwOFpJHRZHS
Dustin Lynch,,Dustin Charles Lynch,"[[Tullahoma, Tennessee]], U.S.",{{birth date and age|1985|05|14}},male,American_country_singers,Dustin Lynch,1dID9zgn0OV0Y8ud7Mh2tS
Jon Pardi,,Jonathan Ryan Pardi,"[[Nashville, Tennessee]], U.S.",{{birth date and age|1985|05|20}},male,American_country_singers,Jon Pardi,4MoAOfV4ROWofLG3a3hhBN
Kip Moore,,Kip Christian Moore,"[[Nashville, Tennessee]], United States",{{birth date and age|1980|04|02}},male,American_male_guitarists,Kip Moore,2hJPr4lk7Q8SSvCVBl9fWM
Scotty McCreery,,Scott Cooke McCreery,"[[Garner, North Carolina]], U.S.",{{birth date and age|mf|=|yes|1993|10|9}},male,,Scotty McCreery,6ZV6lGY0prbqpTD0Md8i29
Russell Dickerson,,Russell Edward Dickerson,"[[Union City, Tennessee]]",{{birth date and age|1987|05|07}},male,American_country_singers,Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw
Cole Swindell,,Colden Rainey Swindell,"[[Franklin, Tennessee]], U.S.",{{birth date and age|1983|6|30}},male,American_country_singers,Cole Swindell,1mfDfLsMxYcOOZkzBxvSVW
Jake Owen,,Joshua Ryan Owen,"[[Vero Beach, Florida]], U.S.","{{Birth date and age|mf|=|yes|1981|08|28}} [[Winter Haven, Florida]], U.S.",male,American_country_singers,Jake Owen,1n2pb9Tsfe4SwAjmUac6YT
Florida Georgia Line,"* [[Tyler Hubbard]]
* [[Brian Kelley (musician)|Brian Kelley]]",,"[[Nashville, Tennessee]], U.S.",,male,,Florida Georgia Line,3b8QkneNDz4JHKKKlLgYZg
Dan + Shay,"* Dan Smyers
* Shay Mooney",,"[[Nashville, Tennessee]], U.S.",,male,,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T
Dylan Scott,,Dylan Scott Robinson,"[[Bastrop, Louisiana]], U.S.",{{birth date and age|1990|10|22}},male,American_country_singers,Dylan Scott,78YqeIji3mgAS2K1Maca6x
Josh Turner,,Joshua Otis Turner,"[[Nashville, Tennessee]]",{{birth date and age|1977|11|20}},male,American_country_singers,Josh Turner,7vCtweS8UVAXTyau2j0rDT
Dierks Bentley,,Frederick Dierks Bentley,"[[Phoenix, Arizona]], U.S.",{{birth date and age|mf|=|yes|1975|11|20}},male,American_country_singers,Dierks Bentley,7x8nK0m0cP2ksQf0mjWdPS
Chris Lane,,Christopher Eric Lane,"[[Kernersville, North Carolina]], US",{{birth date and age|1984|11|9}},male,American_country_singers,Chris Lane,6GDDxhe281I5aNSgCYphex
Chris Lane,,Christopher Eric Lane,"[[Kernersville, North Carolina]], US",{{birth date and age|1984|11|9}},male,American_country_singers,Chris Lane,68abRTdO4meYReMWHvBYb0
Kelsea Ballerini,,Kelsea Nicole Ballerini,"[[Knoxville, Tennessee]], U.S.",{{birth date and age|1993|9|12}},female,American_female_country_singers,Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF
Brothers Osborne,{{hlist|John Osborne|T.J. Osborne}},,"[[Deale, Maryland]], U.S.",,male,,Brothers Osborne,39NR3AUhpbbqKM33vWn2fp
Keith Urban,,Keith Lionel Urbahn,"[[Whangarei, Northland]], New Zealand",{{birth date and age |df|=|yes|1967|10|26}},male,Male_guitarists,Keith Urban,0u2FHSq3ln94y5Q57xazwf
Lady A,"* [[Hillary Scott]]
* [[Dave Haywood]]
* [[Charles Kelley]]",,"[[Nashville, Tennessee]], U.S.",,"male, female",,Lady A,32WkQRZEVKSzVAAYqukAEA
Justin Moore,,Justin Cole Moore,"[[Poyen, Arkansas]], U.S.",{{birth date and age|1984|3|30}},male,American_country_singers,Justin Moore,30e8DmahrEamvLbFRPdWmk
Eric Church,,Kenneth Eric Church,"[[Nashville, Tennessee]], U.S.",{{birth date and age|1977|5|3}},male,American_country_singers,Eric Church,2IvkS5MXK0vPGnwyJsrEyV
Little Big Town,{{unbulleted list|Karen Fairchild|Kimberly Schlapman|Phillip Sweet|Jimi Westbrook}},,"[[Homewood, Alabama]], U.S.",,"male, female",,Little Big Town,3CygdxquGHurS7f9LjNLkv
Chris Janson,,Christopher Pierre Janson,"[[Nashville, Tennessee]], U.S.",{{birth date and age|1986|4|2}},male,American_country_singers,Chris Janson,60gmlHZmT16wiO9GiXKYK9
Rachel Platten,,,"[[Newton Centre]], [[Massachusetts]], U.S.",{{birth date and age|1981|05|20}},female,American_female_singer-songwriters,Rachel Platten,3QLIkT4rD2FMusaqmkepbq
Brad Paisley,,Bradly Douglas Paisley,"[[Glen Dale, West Virginia]], United States",{{birth date and age|1972|10|28}},male,American_country_singers,Brad Paisley,13YmWQJFwgZrd4bf5IjMY4
High Valley,Brad Rempel<br />Dave Myers<br />Sam Bergeson<br />Raymond Klassen<br />Clint Milburn<br />Andrew Hemmerling,,"[[La Crete]], [[Alberta]], Canada",,male,,High Valley,5sQqZtsAbXAoAnvA8iN9kN
Chris Stapleton,,Christopher Alvin Stapleton,"[[Nashville, Tennessee|Nashville]], [[Tennessee]], U.S.",{{Birth date and age|mf|=|yes|1978|4|15}},male,American_country_singers,Chris Stapleton,4YLtscXsxbVgi031ovDDdh
Randy Houser,,Shawn Randolph Houser,"[[Lake, Mississippi]], U.S.",{{birth date and age|1975|12|18}},male,American_country_singers,Randy Houser,56x8mYvS3cyDGAi8N2FxbB
Astrid S,,Astrid Smeplass,"[[Berkåk]], Norway",{{Birth date and age|1996|10|29|df|=|y}},female,,Astrid S,3AVfmawzu83sp94QW7CEGm
Matt Terry,,Matthew James Terry,,{{Birth date and age|df|=|yes|1993|5|20}},male,English_male_singers,Matt Terry,2JLqTvFXmC87BksiCsBezV
ItaloBrothers,Matthias Metten,,"[[Nordhorn]], Germany",,male,,ItaloBrothers,5nkYRuiIHg2xXHFC8bfosJ
Axwell & Ingrosso,"* [[Axwell]]
* [[Sebastian Ingrosso]]",,,,male,,Axwell & Ingrosso,2XnBwblw31dfGnspMIwgWz
Lauv,,Ari Staprans Leff,"[[San Francisco]], [[California]], U.S.",{{birth date and age|1994|08|08}},male,,Lauv,5JZ7CnR6gTvEMKX4g70Amv
Mr. Probz,,Dennis Princewell Stehr,"[[Zoetermeer]], [[Netherlands]]",{{birth date and age|1984|05|15|df|=|yes}},male,,Mr. Probz,33W1pnW9zScZtYTnAoWnOT
LANY,"* Paul Jason Klein
* Jake Clifford Goss",,"[[Los Angeles]], [[California]], US",,male,,LANY,49tQo2QULno7gxHutgccqF
Chelsea Cutler,,Chelsea Emily Cutler,"[[Westport, Connecticut]], U.S.",{{birth date and age|1997|2|11|mf|=|y}},female,,Chelsea Cutler,5JMLG56F1X5mFmWNmS0iAp
Isaiah Firebrace,,,"[[Moama]], [[New South Wales]], Australia",{{Birth date and age|df|=|y|1999|11|21}},male,Australian_male_singers,Isaiah Firebrace,5lXfVoQxVgC5fpjkVqvNYn
Hugo Helmig,,,"[[Aarhus]], [[Denmark]]",{{birth date and age|1998|07|24|df|=|y}},male,,Hugo Helmig,27eEve8Mu7Zv8DGDIz4peE
Charlie Puth,,Charles Otto Puth Jr.,"[[Rumson, New Jersey]], U.S. {{Infobox person 
| child |=| yes
| alma_mater |=| [[Berklee College of Music]] ([[Bachelor of Music|BM]])}}",{{birth date and age|1991|12|2}},male,American_male_singer-songwriters,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7
Ina Wroldsen,,Ina Christine Wroldsen,"[[Sandefjord]], Norway",{{Birth date and age|1984|5|29|df|=|yes}},female,,Ina Wroldsen,7hssUdpvtY5oiARaUDgFZ3
Jasmine Sokko,,Jasmine Wong Chu Qing,Singapore,{{birth date and age|df|=|y|1995|11|8}},female,,Jasmine Sokko,3risOBDAx6GGVaCcBuhswz
Niall Horan,,Niall James Horan,"[[Mullingar]], [[County Westmeath|Westmeath]], Ireland",{{Birth date and age|df|=|yes|1993|9|13}},male,,Niall Horan,1Hsdzj7Dlq2I7tHP7501T4
Daniel Schulz,,,"[[Berlin]], [[Germany]]",{{Birth date and age|df|=|yes|1986|2|21}},male,,Daniel Schulz,3pVuaUisHmRfVy53qWwmql
Future Animals,[[Stefan Forrest]],,"[[Copenhagen]], Denmark",,male,,Future Animals,6BO6yixI2DcFTyErSNYfLx
Brantley Gilbert,,Brantley Keith Gilbert,"[[Jefferson, Georgia]], U.S.",{{Birth date and age|1985|1| 20|mf|=|y}},male,American_country_singers,Brantley Gilbert,5q8HGNo0BjLWaTAhRtbwxa
Trent Harmon,,Trenton William Harmon,"[[Amory, Mississippi]], United States",{{birth date and age|1990|10|08}},male,American_male_guitarists,Trent Harmon,1YSoHvvSAY0oOJW7VxJx3M
Jason Aldean,,Jason Aldine Williams,"[[Nashville, Tennessee]], U.S.",{{Birth date and age|1977|2|28}},male,American_country_singers,Jason Aldean,3FfvYsEGaIb52QPXhg4DcH
Jason Aldean,,Jason Aldine Williams,"[[Nashville, Tennessee]], U.S.",{{Birth date and age|1977|2|28}},male,American_country_singers,Jason Aldean,69cN61YEmIbnVa66183NJf
Easton Corbin,,Dan Easton Corbin,"[[Trenton, Florida]], U.S.",{{Birth date and age|1982|04|12}},male,American_country_singers,Easton Corbin,070kGpqtESdDsLb3gdMIyx
Logan Mize,,,"[[Clearwater, Kansas|Clearwater]], [[Kansas]], USA",,male,American_country_singers,Logan Mize,7tje8UB3cuR1ZfeJx2U38T
Canaan Smith,,Canaan Lee Smith,"[[Nashville, Tennessee]], U.S.",{{birth date and age|1982|08|24}},male,American_country_singers,Canaan Smith,0q2lY1ZzFckzciuoMtUvck
Parmalee,Barry Knox<br />Josh McSwain<br />Matt Thomas<br />Scott Thomas,,"[[Parmele, North Carolina]], U.S.",,male,,Parmalee,4TshyQDihSYXSWqvclXl3I
Dylan Schneider,,,"[[Terre Haute, Indiana|Terre Haute]], [[Indiana]], United States",{{birth date and age|1999|10|09}},male,American_male_singers,Dylan Schneider,5lRB3MAJfKzlt7dgYMHWgY
Maren Morris,,Maren Larae Morris,"[[Arlington, Texas]], U.S.",{{birth date and age|1990|4|10}},female,American_female_country_singers,Maren Morris,6WY7D3jk8zTrHtmkqqo5GI
Ryan Hurd,,Ryan James Hurd,"[[Kalamazoo, Michigan]], U.S.",{{birth date and age|1986|11|2}},male,,Ryan Hurd,7lDVEkjIURPMyUYwoQRrpw
Shakira,,Shakira Isabel Mebarak Ripoll,"[[Barranquilla]], Colombia",{{Birth date and age|df|=|yes|1977|2|2}},female,,Shakira,0EmeFodog0BfCgMzAIvKQp
Taron Egerton,,,"[[Birkenhead]], [[Merseyside]], England",{{birth date and age|1989|11|10|df|=|y}},male,,Taron Egerton,5nwjcZ87CGNRiO98nFKdOD
Fall Out Boy,"* [[Patrick Stump]]
* [[Joe Trohman]]
* [[Pete Wentz]]
* [[Andy Hurley]]",,"[[Wilmette, Illinois]], U.S.",,male,,Fall Out Boy,4UXqAaa6dQYAk18Lv7PEgX
The J. Geils Band,,,"[[Worcester, Massachusetts]], U.S.",,male,,The J. Geils Band,69Mj3u4FTUrpyeGNSIaU6F
Camila Cabello,,Karla Camila Cabello Estrabao,"[[Cojímar]], [[Havana]], Cuba",{{Birth date and age|1997|3|3}},female,,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF
5 Seconds of Summer,"* [[Luke Hemmings]]
* [[Calum Hood]]
* [[Ashton Irwin]]
* [[Michael Clifford (musician)|Michael Clifford]]",,"[[Sydney]], [[New South Wales]], Australia",,male,,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy
Gwen Stefani,,Gwen Renée Stefani,"[[Fullerton, California]], U.S.",{{Birth date and age|1969|10|3}},female,American_female_pop_singers,Gwen Stefani,4yiQZ8tQPux8cPriYMWUFP
Eric Paslay,,Eric Thomas Paslay,"[[Waco, Texas]], U.S. <br />[[Temple, Texas]], U.S.",{{Birth date and age|1983|1|29|mf|=|y}},male,American_country_singers,Eric Paslay,4TONBKcqVR1LmPdfJxvkMU
Lady Gaga,,Stefani Joanne Angelina Germanotta,"New York City, U.S.",{{birth date and age|1986|3|28}},female,American_female_pop_singers,Lady Gaga,1HY2Jd0NmPuamShAr6KMms
The Weather Girls,"*Dynelle Rhodes
*Dorrey Lin Lyles
*Joan Faulkner",,"[[San Francisco]], California, U.S.",,female,,The Weather Girls,19xz1vcuKNjniGEftTOSSH
Nicki Minaj,,Onika Tanya Maraj,"[[Saint James, Trinidad and Tobago|Saint James]], [[Port of Spain]], [[Trinidad and Tobago]]",{{birth date and age|1982|12|8}},female,African-American_female_singer-songwriters,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh
Jonas Brothers,"{{plainlist|
* [[Kevin Jonas]]
* [[Joe Jonas]]
* [[Nick Jonas]]}}",,"[[Wyckoff, New Jersey]], U.S.",,male,,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD
Rihanna,,Robyn Rihanna Fenty,"[[Saint Michael, Barbados|Saint Michael]], Barbados",{{Birth date and age|1988|2|20}},female,Female_hip_hop_musicians,Rihanna,5pKCCKE2ajJHZ9KAiaK11H
Rihanna,,Robyn Rihanna Fenty,"[[Saint Michael, Barbados|Saint Michael]], Barbados",{{Birth date and age|1988|2|20}},female,Female_hip_hop_musicians,Rihanna,790xzxqtY55Kk3bNiuP3np
Tracy Chapman,,,"[[Cleveland, Ohio]], U.S.",{{Birth date and age|1964|3|30}},female,African-American_female_singer-songwriters,Tracy Chapman,7oPgCQqMMXEXrNau5vxYZP
Andra Day,,Cassandra Monique Batie,"[[San Diego, California]], U.S.",{{Birth date and age|mf|=|yes|1984|12|30}},female,American_female_singers,Andra Day,1c4rxrxy8eDLvMVL1DTiBe
Lipps Inc.,,,"[[Minneapolis, Minnesota|Minneapolis, Minnesota, United States]]",,"male, female",,Lipps Inc.,0lwRI7lvmlRY5DiA5Xa6wQ
Sheryl Crow,,Sheryl Suzanne Crow,"[[Kennett, Missouri]], U.S.",{{birth date and age|1962|2|11}},female,American_female_country_singers,Sheryl Crow,4TKTii6gnOnUXQHyuo9JaD
Nappy Roots,Skinny DeVille<br />B. Stille<br />Ron Clutch <br />Fish Scales,,"[[Bowling Green, Kentucky]], U.S.",,male,,Nappy Roots,3tCxM1rTj2qUXsiQZxvt2I
Sister Hazel,Ken Block<br/>Jett Beres<br/>Andrew Copeland<br/>Ryan Newell<br/>Mark Trojanowski,,"[[Gainesville, Florida|Gainesville]], Florida, US",,male,,Sister Hazel,7m60UAnbgFFNuJbmS6OxTk
Manfred Mann's Earth Band,{{Unbulleted list|[[Manfred Mann (musician)|Manfred Mann]]|[[Mick Rogers (musician)|Mick Rogers]]|[[Steve Kinch]]|John Lingwood|[[Robert Hart (musician)|Robert Hart]]}},,"[[London]], England, United Kingdom",,male,,Manfred Mann's Earth Band,2utNxkLhreF1oIfO8kQT3q
James Blunt,,James Hillier Blount,"[[Tidworth|Tidworth, Hampshire]], (now Wiltshire), England",{{birth date and age|df|=|yes|1974|2|22}},male,English_male_singers,James Blunt,7KMqksf0UMdyA0UCf4R3ux
Big & Rich,{{hlist|[[Big Kenny]]|[[John Rich]]}},,"[[Nashville, Tennessee]], United States",,male,,Big & Rich,0oBEeN6BCxEgMogzThqrPf
Christina Aguilera,,Christina María Aguilera,"[[New York City|New York City]] , U.S.",{{Birth date and age|mf|=|yes|1980|12|18}},female,American_female_pop_singers,Christina Aguilera,1l7ZsJRRS8wlW3WfJfPfNS
Backstreet Boys,"* [[AJ McLean]]
* [[Howie Dorough]]
* [[Nick Carter (singer)|Nick Carter]]
* [[Kevin Richardson (musician)|Kevin Richardson]]
* [[Brian Littrell]]",,"[[Orlando, Florida]], U.S.",,male,,Backstreet Boys,5rSXSAkZ67PYJSvpUpkOr7
Lil Mama,,Niatia Jessica Kirkland,"[[New York City]], U.S.",{{Birth date and age|mf|=|yes|1989|10|4}},female,African-American_female_singer-songwriters,Lil Mama,5qK5bOC6wLtuLhG5KvU17c
Michael Jackson,,Michael Joseph Jackson,"[[Gary, Indiana]], U.S.",{{Birth date|1958|8|29}},male,African-American_male_singers,Michael Jackson,3fMbdgg4jU18AjLCKBhRSm
Kenny Loggins,,Kenneth Clark Loggins,"[[Everett, Washington]], U.S.",{{birth date and age|mf|=|yes|1948|1|7}},male,American_country_singers,Kenny Loggins,3Y3xIwWyq5wnNHPp5gPjOW
Amy Grant,,Amy Lee Grant,"[[Nashville, Tennessee]], U.S.",{{Birth date and age|1960|11|25}},female,American_female_singers,Amy Grant,72Nhcx7prNk2ZCxhx0Y5es
Toby Keith,,Toby Keith Covel,"[[Moore, Oklahoma]], U.S.","{{birth date and age|1961|7|8}} <br />[[Clinton, Oklahoma]], U.S.",male,American_country_singers,Toby Keith,2bA6fzP0lMAQ4kz6CF61w8
Moon Taxi,Trevor Terndrup<br>Spencer Thomson<br>Tommy Putnam<br>Wes Bailey<br>Tyler Ritter,,"[[Vestavia Hills, Alabama]], United States",,male,,Moon Taxi,5DK8eK7fjvRsziXzyr3sFA
Jesse McCartney,,,"[[Ardsley, New York]], U.S.",{{birth date and age|1987|4|9}},male,American_male_singer-songwriters,Jesse McCartney,2Hjj68yyUPiC0HKEOigcEp
Imagine Dragons,"* [[Dan Reynolds]]
* [[Wayne Sermon]]
* [[Ben McKee]]
* [[Daniel Platzman]]",,"[[Las Vegas|Las Vegas, Nevada]], U.S.",,male,,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q
Ben Rector,,Benjamin Evans Rector,"[[Tulsa, Oklahoma|Tulsa]], [[Oklahoma]], U.S.",{{birth date and age|1986|11|6}},male,,Ben Rector,4AapPt7H6bGH4i7chTulpI
Why Don't We,"* Daniel Seavey
*Jonah Marais
*Corbyn Besson
*Zach Herron
*Jack Avery",,"[[Los Angeles]], [[California]], United States",,male,,Why Don't We,2jnIB6XdLvnJUeNTy5A0J2
The Beatles,,,"[[Liverpool]], England",,male,,The Beatles,3WrFJ7ztbogyGnTHbHJFl2
AC/DC,"* [[Angus Young]]
* [[Phil Rudd]]
* [[Cliff Williams]]
* [[Brian Johnson]]
* [[Stevie Young]]",,"[[Sydney]], [[New South Wales]], Australia",,male,,AC/DC,7yPFm21ZPIpKhlZlIovYFW
Ozzy Osbourne,,John Michael Osbourne,"[[Marston Green]], [[Warwickshire]], England",{{birth date and age|df|=|yes|1948|12|3}},male,English_male_singers,Ozzy Osbourne,6ZLTlhejhndI4Rh53vYhrY
Darryl Worley,,Darryl Wade Worley,"[[Pyburn, Tennessee]], United States",{{birth date and age|1964|10|31}},male,American_country_singers,Darryl Worley,4zIBkSJcqRp4ADuFI94WvO
John Denver,,Henry John Deutschendorf Jr.,"[[Roswell, New Mexico]], U.S.",{{birth date|1943|12|31}},male,American_country_singers,John Denver,7EK1bQADBoqbYXnT4Cqv9w
Lee Brice,,Kenneth Mobley Brice Jr.,"[[Nashville, Tennessee]]",{{birth date and age|1979|6|10}},male,American_country_singers,Lee Brice,5Zq7R5qmi58ByYyBQTlNuk
Randy Travis,,Randy Bruce Traywick,"[[Marshville, North Carolina]], U.S.",{{Birth date and age|1959|05|04}},male,American_country_singers,Randy Travis,1pTuR132U5b4Rizal2Pr7m
Rednex,"* Ace Ratclaw (Tor Penten)
* Spades (Jan Blumentrath)
* Pervis The Palergator (Christian Nakanishi)
* Zoe Duskin (Nika Karch)
* Dagger (Anders Sandberg) 
* Jiggie McClagganahan (Yana Görisch)
* Moe Lester the Limp * Cash (Uwe Grunert)
* Boneduster Crock (Björn Scheffler)
* Rufus Jones
* Mup
* Misty Mae (Cecilia Karlsson)",,[[Sweden]],,"male, female",,Rednex,22Zqu1yyebVnbve8FxbJ2g
Rodney Atkins,,Rodney Allan Atkins,"[[Cumberland Gap, Tennessee]], U.S.",{{birth date and age|1969|03|28}},male,American_country_singers,Rodney Atkins,2qgvmDsc4jrqbAbjq1HGM2
Gary Allan,,Gary Allan Herzberg,"[[La Mirada, California]], United States",{{birth date and age |mf|=|yes|1967|12|05}},male,American_country_singers,Gary Allan,37W8SKV5Vc8lcGtdyWCA5m
Craig Morgan,,Craig Morgan Greer,"[[Kingston Springs, Tennessee]], U.S.",{{birth date and age|1964|07|17}},male,American_country_singers,Craig Morgan,6ktyNEnEukKzskQEiXgCFD
Seth Ennis,,,"[[Dothan, Alabama]]",{{birth date and age|1992|11|30}},male,American_country_singers,Seth Ennis,2dEZtPJFspWetycGtouit2
Montgomery Gentry,{{ubl|Eddie Montgomery}},,"[[Summit, Kentucky]], U.S.",,male,,Montgomery Gentry,3bGXaFVQLASmDMdjjeJr8a
Aaron Watson,,James Aaron Watson,"[[Abilene, Texas]], US",{{birth date and age|1977|08|20|mf|=|yes}},male,American_country_singers,Aaron Watson,5BKzvAPtNXnt0LwzGvKOH3
Tyler Farr,,Tyler Lynn Farr,"[[Nashville, Tennessee]]",{{birth date and age|1984|02|05}},male,American_country_singers,Tyler Farr,3vHV92ecrylnUHDM4d2MtC
Nitty Gritty Dirt Band,Bob Carpenter<br>Jimmie Fadden<br>Jaime Hanna<br>[[Jeff Hanna]]<br>Ross Holmes<br>[[Jim Photoglo]],,"[[Long Beach, California]], United States",,male,,Nitty Gritty Dirt Band,7y70dch6JuuuNnwlsOQvwW
Chris Cagle,,Christopher Norris Cagle,"[[Nashville, Tennessee]], U.S.",{{Birth date and age|1968|11|10}},male,American_country_singers,Chris Cagle,1zhIzONVRlTfD1VQRauHMl
Mark Wills,,Daryl Mark Williams,"[[Blue Ridge, Georgia|Blue Ridge]], Georgia, U.S.",{{Birth date and age|1973|08|08}},male,American_country_singers,Mark Wills,0dlwjJe4kg9TgOMN184bJF
Daryle Singletary,,Daryle Bruce Singletary,"[[Cairo, Georgia]], U.S.",{{birth date|1971|3|10}},male,American_country_singers,Daryle Singletary,1mQ9wgWshECdFsDbT7ATzT
Steve Goodman,,Steven Benjamin Goodman,"[[Chicago]], [[Illinois]], U.S.",{{birth date|1948|7|25}},male,American_male_singer-songwriters,Steve Goodman,0n5eyZr2XjOLUODPGZrlLB
Weezer,"* [[Rivers Cuomo]]
* [[Patrick Wilson (musician)|Patrick Wilson]]
* [[Brian Bell]]
* [[Scott Shriner]]",,"[[Los Angeles]], [[California]], U.S.",,male,,Weezer,3jOstUTkEu2JkjvRdBA5Gu
The Troggs,{{unbulleted list|'''Chris Britton'''|Pete Lucas|Chris Allen|John W Doyle|Darren Bond}},,"[[Andover, Hampshire]], England",,male,,The Troggs,57xdnSVt4ahJCIXYLieQ25
Rufus Wainwright,,Rufus McGarrigle Wainwright,"[[Rhinebeck, New York]], U.S.",{{Birth date and age|1973|7|22}},male,American_male_singer-songwriters,Rufus Wainwright,2PfBzriIMRsCXPDtSy9vg8
Phantom Planet,[[Alex Greenwald]] <br />[[Sam Farrar]] <br />Darren Robinson<br />Jeff Conrad,,"[[Los Angeles, California]], U.S.",,male,,Phantom Planet,0LsTFjEB1IIrh7IlTxs1GY
Alanis Morissette,,Alanis Nadine Morissette,"[[Ottawa]], Canada",{{birth date and age|1974|06|01}},female,American_female_guitarists,Alanis Morissette,6ogn9necmbUdCppmNnGOdi
Bobby Day,,Robert James Byrd,"[[Fort Worth, Texas]], U.S.",{{Birth date|1930|7|1}},male,,Bobby Day,4SLfKHcufUqU46DiTAHIsj
Saint Motel,{{unbulleted list|[[A/J Jackson]]|Aaron Sharp|Greg Erwin|Dak Lerdamornpong}},,"[[Los Angeles]], [[California]], US",,male,,Saint Motel,1dWEYMPtNmvSVaDNLgB6NV
Bishop Briggs,,Sarah Grace McLaughlin,"Los Angeles, U.S.",{{Birth date and age|df|=|yes|1992|07|18}},female,British_female_singers,Bishop Briggs,0yb46jwm7gqbZXVXZQ8Z1e
Big Wild,,Jackson Stell,"[[Worcester, Massachusetts]], United States",{{Birth date and age|1990|8|31}},male,,Big Wild,0PxzGnCYBpSuaI49OR94cA
Flux Pavilion,,,"[[Towcester]], United Kingdom",{{Birth date and age|1989|1|15|df|=|y}},male,,Flux Pavilion,7muzHifhMdnfN1xncRLOqk
Galantis,"* [[Christian Karlsson (record producer)|Bloodshy]]
* [[Style of Eye]]",,"[[Stockholm]], Sweden",,male,,Galantis,4sTQVOfp9vEMCemLw50sbu
Ookay,,Abraham Laguna,"[[Chula Vista]], [[California]], U.S.",{{birth date and age|1992|1|10}},male,,Ookay,1HQGhla3VNj1dBmKTtVT2t
Young the Giant,"* Sameer Gadhia
* Jacob Tilley
* Eric Cannata
* Payam Doostzadeh
* Francois Comtois",,"[[Irvine, California]], U.S.",,male,,Young the Giant,4j56EQDQu5XnL7R3E9iFJT
Coast Modern,Luke Atlas<br/>Coleman Trapp,,"[[Los Angeles]], California, United States",,male,,Coast Modern,4wYk01oPJNfaEssVFL46oQ
Avicii,,Tim Bergling,"[[Stockholm]], Sweden",{{birth date|1989|9|8|df|=|y}},male,,Avicii,1vCWHaC5f2uS3yhpwWbIA6
Lecrae,,Lecrae Devaughn Moore,"[[Houston, Texas]], U.S.",{{Birth date and age|1979|10|9}},male,African-American_male_rappers,Lecrae,1CFCsEqKrCyvAFKOATQHiW
Lupe Fiasco,,Wasalu Muhammad Jaco,"[[Chicago]], [[Illinois]], U.S.",{{birth date and age|1982|2|16}},male,African-American_male_rappers,Lupe Fiasco,01QTIT5P1pFP3QnnFSdsJf
Trip Lee,,William Lee Barefield III,"[[Dallas]], [[Texas]], U.S.",{{Birth date and age|1987|12|17}},male,,Trip Lee,12H1Dmi64fAmmARrsyVFzy
Deorro,,Erick Orrosquieta,"[[West Covina, California]], U.S.",{{birth date and age|1991|8|30}},male,,Deorro,6VD4UEUPvtsemqD3mmTqCR
Andy Mineo,,Andrew Aaron Mineo,"[[Syracuse, New York]]",{{Birth date and age|1988|04|17}},male,,Andy Mineo,1TMrnxBwZfmfRxsGzkNIHw
Jai Wolf,,Sajeeb Saha,"[[Long Island, New York]], United States",{{Birth date and age|1991|11|1}},male,,Jai Wolf,24V5UY0nChKpnb1TBPJhCw
Kanye West,,Kanye Omari West,"[[Atlanta]], [[Georgia (U.S. state)|Georgia]], U.S.",{{Birth date and age|1977|6|8}},male,African-American_male_rappers,Kanye West,5K4W6rqBFWDnAN6FQUkS6x
Eminem,,Marshall Bruce Mathers III,"[[St. Joseph, Missouri]], U.S.",{{birth date and age|1972|10|17}},male,American_male_rappers,Eminem,7dGJo4pcD2V6oG8kP0tJRR
Derek Minor,,"Derek Laurence Johnson, Jr.","[[Middle Tennessee]], United States",{{birth date and age|1984|12|16}},male,,Derek Minor,3fn8lZLy7Q61AXCWWPYC4B
Tedashii,,Tedashii Lavoy Anderson,"[[Lufkin, Texas]]",{{Birth date and age|1977|03|8}},male,African-American_male_rappers,Tedashii,4c6lhwoOrmgNWvl0GxHlW1
Herobust,,Hayden Jerome Kramer,"[[Atlanta]], [[Georgia, United States|Georgia]], U.S.",{{birth date and age|1987|07|10|df|=|yes}},male,,Herobust,43tAs3kRWvyu1B7eZOv2pp
Lukas Graham,"* [[Lukas Forchhammer]]
* Mark Falgren
* Magnus Larsson",,,,male,,Lukas Graham,25u4wHJWxCA9vO0CzxAbK7
Soulja Boy,,DeAndre Cortez Way,"[[Atlanta|Atlanta, Georgia]], U.S.",{{Birth date and age|1990|7|28|mf|=|y}},male,African-American_male_rappers,Soulja Boy,6GMYJwaziB4ekv1Y6wCDWS
Spin Doctors,[[Chris Barron]]<br/>Aaron Comess<br/>Eric Schenkman,,"New York City, New York, U.S.",,male,,Spin Doctors,2PSiyldxmJze7xiqbz658m
